YEAR,Average New House Price,,,,,,
,National,Dublin ,Cork,Galway,Limerick,Waterford,Other Areas
1997,"102,037","123,231","96,504","111,108","91,236","92,372","94,642"
1998,"124,368","159,558","112,166","118,917","104,327","108,789","116,639"
1999,"147,043","191,942","140,797","137,510","122,146","132,510","137,031"
2000,"166,155","216,433","164,535","160,972","146,838","145,087","154,141"
2001,"181,146","252,192","175,372","171,578","154,515","157,767","167,493"
2002,"194,835","259,381","184,884","187,194","169,577","169,681","179,988"
2003,"220,573","302,270","210,733","222,578","193,854","193,642","203,421"
2004,"244,852","343,251","236,076","241,545","209,850","218,447","228,974"
2005,"272,034","386,089","264,719","274,745","226,773","245,315","255,730"
2006,"297,476","473,634","298,122","287,103","282,309","270,108","278,756"
2007,"320,788","484,926","326,765","302,208","290,670","295,397","299,884"
2008,"304,763","426,861","316,177","296,948","278,680","294,960","286,100"
2009,"246,315","294,906","255,978","239,370","262,654","228,332","234,696"
2010,"233,173","297,294","245,869","220,351","226,829","224,021","221,037"
2011,"233,770","333,747","244,736","229,558","218,341","206,835","218,561"
2012,"223,580","292,004","235,446","221,159","213,458","179,716","210,180"
2013,"231,532","321,558","241,127","218,308","207,635","154,051","209,772"
2014,"247,327","339,590","242,202","219,725","212,882","177,963","215,439"
2015,"282,428","381,484","256,767","241,835","232,791","214,829","252,815"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
